tablename
job
dag_code
dag_pickle
log
slot_pool
connection
callback_request
import_error
sla_miss
variable
serialized_dag
ab_user
ab_register_user
dataset
dag_schedule_dataset_reference
dag
task_outlet_dataset_reference
dataset_dag_run_queue
log_template
dag_run
dag_tag
dag_owner_attributes
dag_warning
ab_permission
ab_permission_view
ab_view_menu
ab_user_role
ab_role
dagrun_dataset_event
dataset_event
trigger
task_instance
dag_run_note
ab_permission_view_role
task_fail
task_map
alembic_version
task_reschedule
xcom
task_instance_note
rendered_task_instance_fields
session
